HomeTeam,AwayTeam,HomeGoals,AwayGoals,season,Round,LEG,Ganador
Sporting CP ,Partizan Belgrade ,3,3,1955-56,Round 1 , Leg 1,empate
Budapesti Voros Lobogo ,RSC Anderlecht ,6,3,1955-56,Round 1 , Leg 1,Budapesti Voros Lobogo 
Servette Geneve ,Real Madrid CF ,0,2,1955-56,Round 1 , Leg 1,Real Madrid CF 
Rot-Weiss Essen ,Hibernian FC ,0,4,1955-56,Round 1 , Leg 1,Hibernian FC 
Djurgardens IF ,Gwardia Warszawa ,0,0,1955-56,Round 1 , Leg 1,empate
Rapid Wien ,PSV Eindhoven ,6,1,1955-56,Round 1 , Leg 1,Rapid Wien 
Aarhus GF ,Stade Reims ,0,2,1955-56,Round 1 , Leg 1,Stade Reims 
Partizan Belgrade ,Sporting CP ,5,2,1955-56,Round 1 , Leg 2,Partizan Belgrade 
Hibernian FC ,Rot-Weiss Essen ,1,1,1955-56,Round 1 , Leg 2,empate
Real Madrid CF ,Servette Geneve ,5,0,1955-56,Round 1 , Leg 2,Real Madrid CF 
Gwardia Warszawa ,Djurgardens IF ,1,4,1955-56,Round 1 , Leg 2,Djurgardens IF 
RSC Anderlecht ,Budapesti Voros Lobogo ,1,4,1955-56,Round 1 , Leg 2,Budapesti Voros Lobogo 
Stade Reims ,Aarhus GF ,2,2,1955-56,Round 1 , Leg 2,empate
AC Milan ,1. FC Saarbrücken ,3,4,1955-56,Round 1 , Leg 1,1. FC Saarbrücken 
PSV Eindhoven ,Rapid Wien ,1,0,1955-56,Round 1 , Leg 2,PSV Eindhoven 
1. FC Saarbrücken ,AC Milan ,1,4,1955-56,Round 1 , Leg 2,AC Milan 
Djurgardens IF ,Hibernian FC ,1,3,1955-56,Quarterfinals , Leg 1,Hibernian FC 
Hibernian FC ,Djurgardens IF ,1,0,1955-56,Quarterfinals , Leg 2,Hibernian FC 
Stade Reims ,Budapesti Voros Lobogo ,4,2,1955-56,Quarterfinals , Leg 1,Stade Reims 
Real Madrid CF ,Partizan Belgrade ,4,0,1955-56,Quarterfinals , Leg 1,Real Madrid CF 
Budapesti Voros Lobogo ,Stade Reims ,4,4,1955-56,Quarterfinals , Leg 2,empate
Rapid Wien ,AC Milan ,1,1,1955-56,Quarterfinals , Leg 1,empate
Partizan Belgrade ,Real Madrid CF ,3,0,1955-56,Quarterfinals , Leg 2,Partizan Belgrade 
AC Milan ,Rapid Wien ,7,2,1955-56,Quarterfinals , Leg 2,AC Milan 
Stade Reims ,Hibernian FC ,2,0,1955-56,Semifinals , Leg 1,Stade Reims 
Hibernian FC ,Stade Reims ,0,1,1955-56,Semifinals , Leg 2,Stade Reims 
Real Madrid CF ,AC Milan ,4,2,1955-56,Semifinals , Leg 1,Real Madrid CF 
AC Milan ,Real Madrid CF ,2,1,1955-56,Semifinals , Leg 2,AC Milan 
Real Madrid CF ,Stade Reims ,4,3,1955-56,Final,,Real Madrid CF 
Borussia Dortmund ,Spora Luxemburg ,4,3,1956-57,Round 1 , Leg 1,Borussia Dortmund 
Dinamo Bucuresti ,Galatasaray İstanbul AŞ ,3,1,1956-57,Round 1 , Leg 1,Dinamo Bucuresti 
Spora Luxemburg ,Borussia Dortmund ,2,1,1956-57,Round 1 , Leg 2,Spora Luxemburg 
RSC Anderlecht ,Manchester United FC ,0,2,1956-57,Round 1 , Leg 1,Manchester United FC 
SK Slovan Bratislava ,Legia Warsaw ,4,0,1956-57,Round 1 , Leg 1,SK Slovan Bratislava 
Borussia Dortmund ,Spora Luxemburg ,7,0,1956-57,Round 1 , Replay,Borussia Dortmund 
Legia Warsaw ,SK Slovan Bratislava ,2,0,1956-57,Round 1 , Leg 2,Legia Warsaw 
Aarhus GF ,OGC Nice ,1,1,1956-57,Round 1 , Leg 1,empate
FC Porto ,Athletic Bilbao ,1,2,1956-57,Round 1 , Leg 1,Athletic Bilbao 
Athletic Bilbao ,FC Porto ,3,2,1956-57,Round 1 , Leg 2,Athletic Bilbao 
Manchester United FC ,RSC Anderlecht ,10,0,1956-57,Round 1 , Leg 2,Manchester United FC 
OGC Nice ,Aarhus GF ,5,1,1956-57,Round 1 , Leg 2,OGC Nice 
Galatasaray İstanbul AŞ ,Dinamo Bucuresti ,2,1,1956-57,Round 1 , Leg 2,Galatasaray İstanbul AŞ 
Manchester United FC ,Borussia Dortmund ,3,2,1956-57,Round of 16 , Leg 1,Manchester United FC 
CDNA Sofia ,Dinamo Bucuresti ,8,1,1956-57,Round of 16 , Leg 1,CDNA Sofia 
SK Slovan Bratislava ,Grasshoppers Zurich ,1,0,1956-57,Round of 16 , Leg 1,SK Slovan Bratislava 
Rangers FC ,OGC Nice ,2,1,1956-57,Round of 16 , Leg 1,Rangers FC 
Real Madrid CF ,Rapid Wien ,4,2,1956-57,Round of 16 , Leg 1,Real Madrid CF 
Rapid JC Heerlen ,Crvena Zvezda ,3,4,1956-57,Round of 16 , Leg 1,Crvena Zvezda 
OGC Nice ,Rangers FC ,2,1,1956-57,Round of 16 , Leg 2,OGC Nice 
Rapid Wien ,Real Madrid CF ,3,1,1956-57,Round of 16 , Leg 2,Rapid Wien 
