Round,date,home_team,FT,HT,away_team,∑FT,ET,P,season,Comments,Stage,Group,home_goals,away_goals
Round 1 | Leg 1,,Sporting CP › POR (1),3-3,1-1,Partizan Belgrade › SRB (1),,,,1955-56,,,,3,3
Round 1 | Leg 1,,Budapesti Voros Lobogo › HUN (1),6-3,3-2,RSC Anderlecht › BEL (1),,,,1955-56,,,,6,3
Round 1 | Leg 1,,Servette Geneve › SUI (1),0-2,0-0,Real Madrid CF › ESP (1),,,,1955-56,,,,0,2
Round 1 | Leg 1,,Rot-Weiss Essen › GER (1),0-4,0-2,Hibernian FC › SCO (1),,,,1955-56,,,,0,4
Round 1 | Leg 1,,Djurgardens IF › SWE (1),0-0,0-0,Gwardia Warszawa › POL (1),,,,1955-56,,,,0,0
Round 1 | Leg 1,,Rapid Wien › AUT (1),6-1,1-1,PSV Eindhoven › NED (1),,,,1955-56,,,,6,1
Round 1 | Leg 1,,Aarhus GF › DEN (1),0-2,0-1,Stade Reims › FRA (1),,,,1955-56,,,,0,2
Round 1 | Leg 2,,Partizan Belgrade › SRB (2),5-2,2-0,Sporting CP › POR (2),8-5 (agg.),,,1955-56,,,,5,2
Round 1 | Leg 2,,Hibernian FC › SCO (2),1-1,1-0,Rot-Weiss Essen › GER (2),5-1 (agg.),,,1955-56,,,,1,1
Round 1 | Leg 2,,Real Madrid CF › ESP (2),5-0,2-0,Servette Geneve › SUI (2),7-0 (agg.),,,1955-56,,,,5,0
Round 1 | Leg 2,,Gwardia Warszawa › POL (2),1-4,1-4,Djurgardens IF › SWE (2),1-4 (agg.),,,1955-56,,,,1,4
Round 1 | Leg 2,,RSC Anderlecht › BEL (2),1-4,1-1,Budapesti Voros Lobogo › HUN (2),4-10 (agg.),,,1955-56,,,,1,4
Round 1 | Leg 2,,Stade Reims › FRA (2),2-2,0-0,Aarhus GF › DEN (2),4-2 (agg.),,,1955-56,,,,2,2
Round 1 | Leg 1,,AC Milan › ITA (1),3-4,3-2,1. FC Saarbrücken › GER (1),,,,1955-56,,,,3,4
Round 1 | Leg 2,,PSV Eindhoven › NED (2),1-0,1-0,Rapid Wien › AUT (2),2-6 (agg.),,,1955-56,,,,1,0
Round 1 | Leg 2,,1. FC Saarbrücken › GER (2),1-4,1-1,AC Milan › ITA (2),5-7 (agg.),,,1955-56,,,,1,4
Quarterfinals | Leg 1,,Djurgardens IF › SWE (3),1-3,1-1,Hibernian FC › SCO (3),,,,1955-56,,,,1,3
Quarterfinals | Leg 2,,Hibernian FC › SCO (4),1-0,0-0,Djurgardens IF › SWE (4),4-1 (agg.),,,1955-56,,,,1,0
Quarterfinals | Leg 1,,Stade Reims › FRA (3),4-2,3-1,Budapesti Voros Lobogo › HUN (3),,,,1955-56,,,,4,2
Quarterfinals | Leg 1,,Real Madrid CF › ESP (3),4-0,3-0,Partizan Belgrade › SRB (3),,,,1955-56,,,,4,0
Quarterfinals | Leg 2,,Budapesti Voros Lobogo › HUN (4),4-4,1-3,Stade Reims › FRA (4),6-8 (agg.),,,1955-56,,,,4,4
Quarterfinals | Leg 1,,Rapid Wien › AUT (3),1-1,1-1,AC Milan › ITA (3),,,,1955-56,,,,1,1
Quarterfinals | Leg 2,,Partizan Belgrade › SRB (4),3-0,1-0,Real Madrid CF › ESP (4),3-4 (agg.),,,1955-56,,,,3,0
Quarterfinals | Leg 2,,AC Milan › ITA (4),7-2,3-1,Rapid Wien › AUT (4),8-3 (agg.),,,1955-56,,,,7,2
Semifinals | Leg 1,,Stade Reims › FRA (5),2-0,0-0,Hibernian FC › SCO (5),,,,1955-56,,,,2,0
Semifinals | Leg 2,,Hibernian FC › SCO (6),0-1,0-0,Stade Reims › FRA (6),0-3 (agg.),,,1955-56,,,,0,1
Semifinals | Leg 1,,Real Madrid CF › ESP (5),4-2,3-2,AC Milan › ITA (5),,,,1955-56,,,,4,2
Semifinals | Leg 2,,AC Milan › ITA (6),2-1,0-0,Real Madrid CF › ESP (6),4-5 (agg.),,,1955-56,,,,2,1
Final,,Real Madrid CF › ESP (7),4-3,0-0,Stade Reims › FRA (7),,,,1955-56,,,,4,3
Round 1 | Leg 1,,Borussia Dortmund › GER (1),4-3,1-2,Spora Luxemburg › LUX (1),,,,1956-57,,,,4,3
Round 1 | Leg 1,,Dinamo Bucuresti › ROU (1),3-1,1-0,Galatasaray İstanbul AŞ › TUR (1),,,,1956-57,,,,3,1
Round 1 | Leg 2,,Spora Luxemburg › LUX (2),2-1,2-1,Borussia Dortmund › GER (2),5-5 (agg.),,,1956-57,,,,2,1
Round 1 | Leg 1,,RSC Anderlecht › BEL (1),0-2,0-1,Manchester United FC › ENG (1),,,,1956-57,,,,0,2
Round 1 | Leg 1,,SK Slovan Bratislava › SVK (1),4-0,3-0,Legia Warsaw › POL (1),,,,1956-57,,,,4,0
Round 1 | Replay,,Borussia Dortmund › GER (3),7-0,4-0,Spora Luxemburg › LUX (3),,,,1956-57,,,,7,0
Round 1 | Leg 2,,Legia Warsaw › POL (2),2-0,0-0,SK Slovan Bratislava › SVK (2),2-4 (agg.),,,1956-57,,,,2,0
Round 1 | Leg 1,,Aarhus GF › DEN (1),1-1,1-0,OGC Nice › FRA (1),,,,1956-57,,,,1,1
Round 1 | Leg 1,,FC Porto › POR (1),1-2,0-1,Athletic Bilbao › ESP (1),,,,1956-57,,,,1,2
Round 1 | Leg 2,,Athletic Bilbao › ESP (2),3-2,1-2,FC Porto › POR (2),5-3 (agg.),,,1956-57,,,,3,2
Round 1 | Leg 2,,Manchester United FC › ENG (2),10-0,5-0,RSC Anderlecht › BEL (2),12-0 (agg.),,,1956-57,,,,10,0
Round 1 | Leg 2,,OGC Nice › FRA (2),5-1,3-0,Aarhus GF › DEN (2),6-2 (agg.),,,1956-57,,,,5,1
